Rank, Movie Name, Movie Link
"93", "Star Wars: Episode VI - Return of the Jedi", "https://www.imdb.com/title/tt0086190/"
"94", "Eternal Sunshine of the Spotless Mind", "https://www.imdb.com/title/tt0338013/"
"95", "Jagten", "https://www.imdb.com/title/tt2106476/"
"96", "2001: A Space Odyssey", "https://www.imdb.com/title/tt0062622/"
"97", "Ikiru", "https://www.imdb.com/title/tt0044741/"
"98", "Reservoir Dogs", "https://www.imdb.com/title/tt0105236/"
"99", "Lawrence of Arabia", "https://www.imdb.com/title/tt0056172/"
"100", "The Apartment", "https://www.imdb.com/title/tt0053604/"
"101", "Incendies", "https://www.imdb.com/title/tt1255953/"
"102", "North by Northwest", "https://www.imdb.com/title/tt0053125/"
"103", "Scarface", "https://www.imdb.com/title/tt0086250/"
"104", "Oppenheimer", "https://www.imdb.com/title/tt15398776/"
"105", "Citizen Kane", "https://www.imdb.com/title/tt0033467/"
"106", "Double Indemnity", "https://www.imdb.com/title/tt0036775/"
"107", "M - Eine Stadt sucht einen Mörder", "https://www.imdb.com/title/tt0022100/"
"108", "Vertigo", "https://www.imdb.com/title/tt0052357/"
"109", "Full Metal Jacket", "https://www.imdb.com/title/tt0093058/"
"110", "Heat", "https://www.imdb.com/title/tt0113277/"
"111", "Le fabuleux destin d&apos;Amélie Poulain", "https://www.imdb.com/title/tt0211915/"
"112", "Up", "https://www.imdb.com/title/tt1049413/"
"113", "A Clockwork Orange", "https://www.imdb.com/title/tt0066921/"
"114", "To Kill a Mockingbird", "https://www.imdb.com/title/tt0056592/"
"115", "Jodaeiye Nader az Simin", "https://www.imdb.com/title/tt1832382/"
"116", "The Sting", "https://www.imdb.com/title/tt0070735/"
"117", "Die Hard", "https://www.imdb.com/title/tt0095016/"
"118", "Indiana Jones and the Last Crusade", "https://www.imdb.com/title/tt0097576/"
"119", "Taare Zameen Par", "https://www.imdb.com/title/tt0986264/"
"120", "Metropolis", "https://www.imdb.com/title/tt0017136/"
"121", "Snatch", "https://www.imdb.com/title/tt0208092/"
"122", "1917", "https://www.imdb.com/title/tt8579674/"
"123", "L.A. Confidential", "https://www.imdb.com/title/tt0119488/"
"124", "Ladri di biciclette", "https://www.imdb.com/title/tt0040522/"
"125", "Hamilton", "https://www.imdb.com/title/tt8503618/"
"126", "Der Untergang", "https://www.imdb.com/title/tt0363163/"
"127", "Taxi Driver", "https://www.imdb.com/title/tt0075314/"
"128", "Dangal", "https://www.imdb.com/title/tt5074352/"
"129", "Batman Begins", "https://www.imdb.com/title/tt0372784/"
"130", "Per qualche dollaro in più", "https://www.imdb.com/title/tt0059578/"
"131", "The Wolf of Wall Street", "https://www.imdb.com/title/tt0993846/"
"132", "Green Book", "https://www.imdb.com/title/tt6966692/"
"133", "Some Like It Hot", "https://www.imdb.com/title/tt0053291/"
"134", "The Kid", "https://www.imdb.com/title/tt0012349/"
"135", "The Truman Show", "https://www.imdb.com/title/tt0120382/"
"136", "Judgment at Nuremberg", "https://www.imdb.com/title/tt0055031/"
"137", "The Father", "https://www.imdb.com/title/tt10272386/"
"138", "All About Eve", "https://www.imdb.com/title/tt0042192/"
"139", "Shutter Island", "https://www.imdb.com/title/tt1130884/"
"140", "There Will Be Blood", "https://www.imdb.com/title/tt0469494/"
"141", "Jurassic Park", "https://www.imdb.com/title/tt0107290/"
"142", "Top Gun: Maverick", "https://www.imdb.com/title/tt1745960/"
"143", "Casino", "https://www.imdb.com/title/tt0112641/"
"144", "Ran", "https://www.imdb.com/title/tt0089881/"
"145", "The Sixth Sense", "https://www.imdb.com/title/tt0167404/"
"146", "El laberinto del fauno", "https://www.imdb.com/title/tt0457430/"
"147", "Unforgiven", "https://www.imdb.com/title/tt0105695/"
"148", "No Country for Old Men", "https://www.imdb.com/title/tt0477348/"
"149", "The Thing", "https://www.imdb.com/title/tt0084787/"
"150", "A Beautiful Mind", "https://www.imdb.com/title/tt0268978/"
"151", "Kill Bill: Vol. 1", "https://www.imdb.com/title/tt0266697/"
"152", "The Treasure of the Sierra Madre", "https://www.imdb.com/title/tt0040897/"
"153", "Yôjinbô", "https://www.imdb.com/title/tt0055630/"
"154", "The Great Escape", "https://www.imdb.com/title/tt0057115/"
"155", "Monty Python and the Holy Grail", "https://www.imdb.com/title/tt0071853/"
"156", "Finding Nemo", "https://www.imdb.com/title/tt0266543/"
"157", "Prisoners", "https://www.imdb.com/title/tt1392214/"
"158", "Hauru no ugoku shiro", "https://www.imdb.com/title/tt0347149/"
"159", "Rashômon", "https://www.imdb.com/title/tt0042876/"
"160", "The Elephant Man", "https://www.imdb.com/title/tt0080678/"
"161", "Dial M for Murder", "https://www.imdb.com/title/tt0046912/"
"162", "Chinatown", "https://www.imdb.com/title/tt0071315/"
"163", "Gone with the Wind", "https://www.imdb.com/title/tt0031381/"
"164", "Lock, Stock and Two Smoking Barrels", "https://www.imdb.com/title/tt0120735/"
"165", "El secreto de sus ojos", "https://www.imdb.com/title/tt1305806/"
"166", "V for Vendetta", "https://www.imdb.com/title/tt0434409/"
"167", "Inside Out", "https://www.imdb.com/title/tt2096673/"
"168", "Three Billboards Outside Ebbing, Missouri", "https://www.imdb.com/title/tt5027774/"
"169", "Raging Bull", "https://www.imdb.com/title/tt0081398/"
"170", "Trainspotting", "https://www.imdb.com/title/tt0117951/"
"171", "The Bridge on the River Kwai", "https://www.imdb.com/title/tt0050212/"
"172", "Klaus", "https://www.imdb.com/title/tt4729430/"
"173", "Catch Me If You Can", "https://www.imdb.com/title/tt0264464/"
"174", "Fargo", "https://www.imdb.com/title/tt0116282/"
"175", "Warrior", "https://www.imdb.com/title/tt1291584/"
"176", "Spider-Man: No Way Home", "https://www.imdb.com/title/tt10872600/"
"177", "Gran Torino", "https://www.imdb.com/title/tt1205489/"
"178", "Harry Potter and the Deathly Hallows - Part 2", "https://www.imdb.com/title/tt1201607/"
"179", "Million Dollar Baby", "https://www.imdb.com/title/tt0405159/"
"180", "Tonari no Totoro", "https://www.imdb.com/title/tt0096283/"
"181", "Mad Max: Fury Road", "https://www.imdb.com/title/tt1392190/"
"182", "Bacheha-Ye aseman", "https://www.imdb.com/title/tt0118849/"
"183", "Ben-Hur", "https://www.imdb.com/title/tt0052618/"
"184", "12 Years a Slave", "https://www.imdb.com/title/tt2024544/"
"185", "Barry Lyndon", "https://www.imdb.com/title/tt0072684/"
"186", "Before Sunrise", "https://www.imdb.com/title/tt0112471/"
"187", "Blade Runner", "https://www.imdb.com/title/tt0083658/"
"188", "The Grand Budapest Hotel", "https://www.imdb.com/title/tt2278388/"
"189", "Hacksaw Ridge", "https://www.imdb.com/title/tt2119532/"
"190", "Gone Girl", "https://www.imdb.com/title/tt2267998/"
"191", "Dead Poets Society", "https://www.imdb.com/title/tt0097165/"
"192", "Maharaja", "https://www.imdb.com/title/tt26548265/"
"193", "Salinui chueok", "https://www.imdb.com/title/tt0353969/"
"194", "In the Name of the Father", "https://www.imdb.com/title/tt0107207/"
"195", "The Gold Rush", "https://www.imdb.com/title/tt0015864/"
"196", "Monsters, Inc.", "https://www.imdb.com/title/tt0198781/"
"197", "Relatos salvajes", "https://www.imdb.com/title/tt3011894/"
"198", "The Deer Hunter", "https://www.imdb.com/title/tt0077416/"
"199", "The General", "https://www.imdb.com/title/tt0017925/"
"200", "Sherlock Jr.", "https://www.imdb.com/title/tt0015324/"
"201", "Jaws", "https://www.imdb.com/title/tt0073195/"
"202", "Ratatouille", "https://www.imdb.com/title/tt0382932/"
"203", "How to Train Your Dragon", "https://www.imdb.com/title/tt0892769/"
"204", "On the Waterfront", "https://www.imdb.com/title/tt0047296/"
"205", "Mary and Max.", "https://www.imdb.com/title/tt0978762/"
"206", "Le salaire de la peur", "https://www.imdb.com/title/tt0046268/"
"207", "Smultronstället", "https://www.imdb.com/title/tt0050986/"
"208", "The Third Man", "https://www.imdb.com/title/tt0041959/"
"209", "Ford v Ferrari", "https://www.imdb.com/title/tt1950186/"
"210", "Mr. Smith Goes to Washington", "https://www.imdb.com/title/tt0031679/"
"211", "Logan", "https://www.imdb.com/title/tt3315342/"
"212", "Tôkyô monogatari", "https://www.imdb.com/title/tt0046438/"
"213", "Rocky", "https://www.imdb.com/title/tt0075148/"
"214", "The Big Lebowski", "https://www.imdb.com/title/tt0118715/"
"215", "Det sjunde inseglet", "https://www.imdb.com/title/tt0050976/"
"216", "Room", "https://www.imdb.com/title/tt3170832/"
"217", "Spotlight", "https://www.imdb.com/title/tt1895587/"
"218", "The Terminator", "https://www.imdb.com/title/tt0088247/"
"219", "Hotel Rwanda", "https://www.imdb.com/title/tt0395169/"
"220", "Platoon", "https://www.imdb.com/title/tt0091763/"
"221", "La haine", "https://www.imdb.com/title/tt0113247/"
"222", "Pirates of the Caribbean: The Curse of the Black Pearl", "https://www.imdb.com/title/tt0325980/"
"223", "Before Sunset", "https://www.imdb.com/title/tt0381681/"
"224", "La passion de Jeanne d&apos;Arc", "https://www.imdb.com/title/tt0019254/"
"225", "Jai Bhim", "https://www.imdb.com/title/tt15097216/"
"226", "The Best Years of Our Lives", "https://www.imdb.com/title/tt0036868/"
"227", "The Exorcist", "https://www.imdb.com/title/tt0070047/"
"228", "Rush", "https://www.imdb.com/title/tt1979320/"
"229", "The Incredibles", "https://www.imdb.com/title/tt0317705/"
"230", "The Wizard of Oz", "https://www.imdb.com/title/tt0032138/"
"231", "Network", "https://www.imdb.com/title/tt0074958/"
"232", "Stand by Me", "https://www.imdb.com/title/tt0092005/"
"233", "Hachi: A Dog&apos;s Tale", "https://www.imdb.com/title/tt1028532/"
"234", "The Sound of Music", "https://www.imdb.com/title/tt0059742/"
"235", "Babam ve Oglum", "https://www.imdb.com/title/tt0476735/"
"236", "Ah-ga-ssi", "https://www.imdb.com/title/tt4016934/"
"237", "To Be or Not to Be", "https://www.imdb.com/title/tt0035446/"
"238", "Into the Wild", "https://www.imdb.com/title/tt0758758/"
"239", "La battaglia di Algeri", "https://www.imdb.com/title/tt0058946/"
"240", "The Grapes of Wrath", "https://www.imdb.com/title/tt0032551/"
"241", "Groundhog Day", "https://www.imdb.com/title/tt0107048/"
"242", "The Iron Giant", "https://www.imdb.com/title/tt0129167/"
"243", "Amores perros", "https://www.imdb.com/title/tt0245712/"
"244", "Rebecca", "https://www.imdb.com/title/tt0032976/"
"245", "The Help", "https://www.imdb.com/title/tt1454029/"
"246", "Cool Hand Luke", "https://www.imdb.com/title/tt0061512/"
"247", "It Happened One Night", "https://www.imdb.com/title/tt0025316/"
"248", "Paris, Texas", "https://www.imdb.com/title/tt0087884/"
"249", "Drishyam", "https://www.imdb.com/title/tt4430212/"
"250", "Gekijôban Kimetsu no yaiba: Mugen Ressha hen", "https://www.imdb.com/title/tt11032374/"
