Rank, Show Name, IMDb Rating, Show Link
"83", "Black Mirror", "8.7", "https://www.imdb.com/title/tt2085059/"
"84", "Over the Garden Wall", "8.7", "https://www.imdb.com/title/tt3718778/"
"85", "Ted Lasso", "8.8", "https://www.imdb.com/title/tt10986410/"
"86", "Eungdaphara 1988", "9", "https://www.imdb.com/title/tt5182866/"
"87", "Pokssak Sogatsuda", "9.2", "https://www.imdb.com/title/tt26471411/"
"88", "Peaky Blinders", "8.7", "https://www.imdb.com/title/tt2442560/"
"89", "Six Feet Under", "8.7", "https://www.imdb.com/title/tt0248654/"
"90", "Steins;Gate", "8.8", "https://www.imdb.com/title/tt1910272/"
"91", "Rome", "8.7", "https://www.imdb.com/title/tt0384766/"
"92", "Naui ajusshi", "9", "https://www.imdb.com/title/tt7923710/"
"93", "Oz", "8.7", "https://www.imdb.com/title/tt0118421/"
"94", "X-Men &apos;97", "8.7", "https://www.imdb.com/title/tt16026746/"
"95", "Kenpuu Denki Berserk", "8.7", "https://www.imdb.com/title/tt0318871/"
"96", "Dark", "8.7", "https://www.imdb.com/title/tt5753856/"
"97", "Severance", "8.7", "https://www.imdb.com/title/tt11280740/"
"98", "Fleabag", "8.7", "https://www.imdb.com/title/tt5687612/"
"99", "The Shield", "8.7", "https://www.imdb.com/title/tt0286486/"
"100", "Downton Abbey", "8.7", "https://www.imdb.com/title/tt1606375/"
"101", "The Grand Tour", "8.7", "https://www.imdb.com/title/tt5712554/"
"102", "Battlestar Galactica", "8.7", "https://www.imdb.com/title/tt0407362/"
"103", "Mad Men", "8.7", "https://www.imdb.com/title/tt0804503/"
"104", "Invincible", "8.7", "https://www.imdb.com/title/tt6741278/"
"105", "Blue Eye Samurai", "8.7", "https://www.imdb.com/title/tt13309742/"
"106", "The Simpsons", "8.6", "https://www.imdb.com/title/tt0096697/"
"107", "Peep Show", "8.7", "https://www.imdb.com/title/tt0387764/"
"108", "Star Trek: The Next Generation", "8.7", "https://www.imdb.com/title/tt0092455/"
"109", "Monster", "8.7", "https://www.imdb.com/title/tt0434706/"
"110", "Naruto: Shippûden", "8.7", "https://www.imdb.com/title/tt0988824/"
"111", "House M.D.", "8.7", "https://www.imdb.com/title/tt0412142/"
"112", "Arrested Development", "8.6", "https://www.imdb.com/title/tt0367279/"
"113", "One Punch Man: Wanpanman", "8.7", "https://www.imdb.com/title/tt4508902/"
"114", "Justice League Unlimited", "8.7", "https://www.imdb.com/title/tt6025022/"
"115", "The Adventures of Sherlock Holmes", "8.7", "https://www.imdb.com/title/tt0086661/"
"116", "Line of Duty", "8.7", "https://www.imdb.com/title/tt2303687/"
"117", "Friday Night Lights", "8.7", "https://www.imdb.com/title/tt0758745/"
"118", "The Boys", "8.6", "https://www.imdb.com/title/tt1190634/"
"119", "Stranger Things", "8.6", "https://www.imdb.com/title/tt4574334/"
"120", "The Marvelous Mrs. Maisel", "8.7", "https://www.imdb.com/title/tt5788792/"
"121", "Top Gear", "8.6", "https://www.imdb.com/title/tt1628033/"
"122", "How to with John Wilson", "8.7", "https://www.imdb.com/title/tt10801534/"
"123", "1883: A Yellowstone Origin Story", "8.7", "https://www.imdb.com/title/tt13991232/"
"124", "The Thick of It", "8.7", "https://www.imdb.com/title/tt0459159/"
"125", "The Last of Us", "8.6", "https://www.imdb.com/title/tt3581920/"
"126", "Father Ted", "8.6", "https://www.imdb.com/title/tt0111958/"
"127", "This Is Us", "8.7", "https://www.imdb.com/title/tt5555260/"
"128", "Mahabharat", "8.9", "https://www.imdb.com/title/tt0158417/"
"129", "The X Files", "8.6", "https://www.imdb.com/title/tt0106179/"
"130", "Parks and Recreation", "8.6", "https://www.imdb.com/title/tt1266020/"
"131", "Sarabhai V/S Sarabhai", "8.9", "https://www.imdb.com/title/tt1518542/"
"132", "Kôdo Giasu: Hangyaku no Rurûshu", "8.7", "https://www.imdb.com/title/tt0994314/"
"133", "Aspirants", "9.2", "https://www.imdb.com/title/tt14392248/"
"134", "House of Cards", "8.6", "https://www.imdb.com/title/tt1856010/"
"135", "The Mandalorian", "8.6", "https://www.imdb.com/title/tt8111088/"
"136", "Deadwood", "8.6", "https://www.imdb.com/title/tt0348914/"
"137", "The Crown", "8.6", "https://www.imdb.com/title/tt4786824/"
"138", "Adventure Time", "8.6", "https://www.imdb.com/title/tt1305826/"
"139", "Ramayan", "9", "https://www.imdb.com/title/tt0268093/"
"140", "Mr Inbetween", "8.7", "https://www.imdb.com/title/tt7472896/"
"141", "Atlanta", "8.6", "https://www.imdb.com/title/tt4288182/"
"142", "Dexter", "8.6", "https://www.imdb.com/title/tt0773262/"
"143", "Daredevil", "8.6", "https://www.imdb.com/title/tt3322312/"
"144", "Bron/Broen", "8.6", "https://www.imdb.com/title/tt1733785/"
"145", "Behzat Ç.", "8.8", "https://www.imdb.com/title/tt1795096/"
"146", "It&apos;s a Sin", "8.6", "https://www.imdb.com/title/tt9140342/"
"147", "Mindhunter", "8.6", "https://www.imdb.com/title/tt5290382/"
"148", "Poirot", "8.6", "https://www.imdb.com/title/tt0094525/"
"149", "Primal", "8.6", "https://www.imdb.com/title/tt10332508/"
"150", "Blackadder II", "8.6", "https://www.imdb.com/title/tt0088484/"
"151", "Lonesome Dove", "8.7", "https://www.imdb.com/title/tt0096639/"
"152", "Shogun", "8.6", "https://www.imdb.com/title/tt2788316/"
"153", "Mr. Bean", "8.6", "https://www.imdb.com/title/tt0096657/"
"154", "Hajime no Ippo", "8.8", "https://www.imdb.com/title/tt0481256/"
"155", "The Family Man", "8.7", "https://www.imdb.com/title/tt9544034/"
"156", "The Penguin", "8.6", "https://www.imdb.com/title/tt15435876/"
